news_id,source_table,source_name,province_code,province_name,title,publish_date,year,month,avg_stay_days,bed_count,bed_usage_rate,discharge_cost,discharge_count,doctor_count,nurse_count,outpatient_cost,outpatient_visits
3,guangxi_news,省级卫健委,GX,广西,2026年2月份医疗服务信息发布指标表,2026-04-08,2026,2,7.3,382666.0,69.9,6009.54,908436.0,124021.0,190163.0,219.99,17908610.0
4,guangxi_news,省级卫健委,GX,广西,2026年1月份医疗服务信息发布指标表,2026-03-31,2026,1,7.0,383966.0,74.7,6394.93,1013886.0,124735.0,190808.0,219.81,19973664.0
5,guangxi_news,省级卫健委,GX,广西,历年广西每千人口床位数,2025-12-31,2025,12,,,,,,,,,
6,guangxi_news,省级卫健委,GX,广西,历年广西每千人口执业医师和执业助理医师数,2025-12-31,2025,12,,,,,,,,,
7,guangxi_news,省级卫健委,GX,广西,历年广西每千人口注册护士数,2025-12-31,2025,12,,,,,,,,,
8,guangxi_news,省级卫健委,GX,广西,历年广西每万人口全科医生数,2025-12-31,2025,12,,,,,,,,,
9,guangxi_news,省级卫健委,GX,广西,2025年11月份医疗服务信息发布指标表,2025-12-26,2025,11,7.8,382568.0,77.1,6231.81,1055103.0,123337.0,191336.0,218.99,21503106.0
10,guangxi_news,省级卫健委,GX,广西,2025年10月份医疗服务信息发布指标表,2025-11-28,2025,10,7.2,381264.0,74.3,6147.56,1041533.0,122982.0,191276.0,222.02,20545801.0
11,guangxi_news,省级卫健委,GX,广西,2025年9月份医疗服务信息发布指标表,2025-10-27,2025,9,8.0,380948.0,73.9,6357.35,1027227.0,122518.0,191193.0,219.36,20621252.0
12,guangxi_news,省级卫健委,GX,广西,2025年8月份医疗服务信息发布指标表,2025-09-30,2025,8,,381476.0,75.5,6156.42,1074425.0,122326.0,191054.0,229.02,20210785.0
13,guangxi_news,省级卫健委,GX,广西,2025年7月份医疗服务信息发布指标表,2025-08-29,2025,7,7.2,381196.0,78.3,6226.35,1141155.0,121049.0,189750.0,228.89,20650356.0
14,guangxi_news,省级卫健委,GX,广西,2025年6月份医疗服务信息发布指标表,2025-07-30,2025,6,7.5,380615.0,77.7,6101.42,1086733.0,120320.0,188568.0,215.98,20876438.0
15,guangxi_news,省级卫健委,GX,广西,2025年5月份医疗服务信息发布指标表,2025-06-27,2025,5,7.4,,76.5,6052.8,1116975.0,120306.0,188258.0,214.14,21248637.0
